country,iso3,year,e_pop_num,e_inc_num_lo,e_inc_num,e_inc_num_hi,e_inc_tbhiv_num_lo,e_inc_tbhiv_num,e_inc_tbhiv_num_hi,e_mort_num_lo,e_mort_num,e_mort_num_hi,e_mort_tbhiv_num_lo,e_mort_tbhiv_num,e_mort_tbhiv_num_hi,c_newinc_100k,c_cdr_lo,c_cdr,c_cdr_hi
Argentina,ARG,2000,36870796,12000,14000,16000,440.0,790.0,1200.0,950.0,1000.0,1100.0,58.0,120.0,210.0,32.0,75.0,87.0,100.0
Argentina,ARG,2001,37275644,11000,13000,15000,380.0,690.0,1100.0,910.0,990.0,1100.0,51.0,110.0,180.0,31.0,75.0,87.0,100.0
Argentina,ARG,2002,37681743,11000,13000,15000,370.0,660.0,1000.0,930.0,1000.0,1100.0,48.0,100.0,180.0,31.0,75.0,87.0,100.0
Argentina,ARG,2003,38087866,11000,12000,14000,350.0,630.0,990.0,860.0,940.0,1000.0,46.0,96.0,170.0,28.0,75.0,87.0,100.0
Argentina,ARG,2004,38491970,11000,13000,15000,380.0,690.0,1100.0,810.0,880.0,960.0,51.0,110.0,180.0,30.0,75.0,87.0,100.0
Argentina,ARG,2005,38892924,10000,12000,14000,400.0,720.0,1100.0,820.0,890.0,970.0,53.0,110.0,190.0,27.0,75.0,87.0,100.0
Argentina,ARG,2006,39289876,9500,11000,13000,410.0,730.0,1100.0,790.0,870.0,950.0,54.0,110.0,190.0,25.0,75.0,87.0,100.0
Argentina,ARG,2007,39684303,10000,12000,14000,470.0,840.0,1300.0,800.0,880.0,970.0,62.0,130.0,220.0,26.0,75.0,87.0,100.0
Argentina,ARG,2008,40080159,9000,11000,12000,440.0,780.0,1200.0,710.0,790.0,870.0,69.0,130.0,210.0,23.0,75.0,87.0,100.0
Argentina,ARG,2009,40482786,7600,8900,10000,370.0,660.0,1000.0,710.0,780.0,860.0,49.0,100.0,170.0,19.0,75.0,87.0,100.0
Argentina,ARG,2010,40895751,7200,8400,9700,360.0,640.0,1000.0,620.0,690.0,760.0,48.0,99.0,170.0,18.0,75.0,87.0,100.0
Argentina,ARG,2011,41320497,9600,11000,13000,490.0,860.0,1300.0,740.0,820.0,910.0,64.0,130.0,230.0,24.0,75.0,87.0,100.0
Argentina,ARG,2012,41755188,8600,10000,12000,450.0,800.0,1300.0,680.0,760.0,840.0,60.0,120.0,210.0,21.0,75.0,87.0,100.0
Argentina,ARG,2013,42196034,8800,10000,12000,460.0,810.0,1300.0,710.0,790.0,880.0,60.0,120.0,210.0,21.0,75.0,87.0,100.0
Argentina,ARG,2014,42637508,9000,11000,12000,460.0,810.0,1300.0,680.0,760.0,840.0,60.0,130.0,210.0,22.0,75.0,87.0,100.0
Argentina,ARG,2015,43075416,9400,11000,13000,460.0,820.0,1300.0,690.0,770.0,850.0,60.0,130.0,210.0,22.0,75.0,87.0,100.0
Argentina,ARG,2016,43508459,10000,12000,14000,470.0,840.0,1300.0,710.0,790.0,880.0,76.0,150.0,240.0,24.0,75.0,87.0,100.0
Argentina,ARG,2017,43937143,10000,12000,14000,440.0,790.0,1200.0,670.0,750.0,830.0,71.0,140.0,230.0,23.0,75.0,87.0,100.0
Argentina,ARG,2018,44361150,10000,12000,14000,420.0,760.0,1200.0,650.0,730.0,810.0,68.0,130.0,220.0,23.0,75.0,87.0,100.0
Argentina,ARG,2019,44780675,11000,13000,15000,440.0,800.0,1300.0,630.0,720.0,810.0,72.0,140.0,240.0,26.0,75.0,87.0,100.0
Bolivia (Plurinational State of),BOL,2000,8418270,10000,16000,22000,400.0,1400.0,3100.0,2300.0,3000.0,3700.0,130.0,480.0,1000.0,120.0,46.0,65.0,100.0
Bolivia (Plurinational State of),BOL,2001,8580244,11000,15000,20000,360.0,1200.0,2600.0,2100.0,2700.0,3300.0,110.0,370.0,790.0,123.0,52.0,69.0,95.0
Bolivia (Plurinational State of),BOL,2002,8742822,11000,15000,20000,300.0,1000.0,2200.0,2000.0,2500.0,3100.0,95.0,330.0,700.0,117.0,50.0,67.0,95.0
Bolivia (Plurinational State of),BOL,2003,8905820,9700,15000,21000,250.0,920.0,2000.0,1900.0,2400.0,2900.0,83.0,300.0,650.0,110.0,46.0,66.0,100.0
Bolivia (Plurinational State of),BOL,2004,9069044,10000,15000,20000,240.0,840.0,1800.0,1700.0,2200.0,2700.0,78.0,270.0,580.0,108.0,49.0,66.0,94.0
Bolivia (Plurinational State of),BOL,2005,9232301,10000,15000,20000,240.0,840.0,1800.0,1700.0,2100.0,2600.0,77.0,270.0,570.0,106.0,50.0,67.0,94.0
Bolivia (Plurinational State of),BOL,2006,9395449,9300,14000,21000,240.0,860.0,1900.0,1600.0,2100.0,2600.0,82.0,300.0,650.0,96.0,44.0,63.0,97.0
Bolivia (Plurinational State of),BOL,2007,9558438,9200,14000,20000,230.0,850.0,1900.0,1600.0,2000.0,2500.0,85.0,310.0,670.0,90.0,42.0,60.0,93.0
Bolivia (Plurinational State of),BOL,2008,9721457,9100,14000,20000,220.0,800.0,1700.0,1500.0,1900.0,2400.0,73.0,270.0,580.0,93.0,45.0,65.0,100.0
Bolivia (Plurinational State of),BOL,2009,9884790,8900,14000,20000,200.0,740.0,1600.0,1400.0,1800.0,2300.0,68.0,250.0,540.0,90.0,45.0,64.0,99.0
Bolivia (Plurinational State of),BOL,2010,10048597,8800,14000,19000,190.0,690.0,1500.0,1300.0,1700.0,2200.0,66.0,240.0,530.0,83.0,43.0,62.0,95.0
Bolivia (Plurinational State of),BOL,2011,10212951,8700,13000,19000,180.0,650.0,1400.0,1200.0,1600.0,2100.0,60.0,220.0,480.0,83.0,45.0,64.0,98.0
Bolivia (Plurinational State of),BOL,2012,10377677,8500,13000,19000,270.0,430.0,620.0,1200.0,1500.0,1900.0,91.0,140.0,210.0,80.0,44.0,63.0,97.0
Bolivia (Plurinational State of),BOL,2013,10542375,8400,13000,19000,240.0,370.0,540.0,1100.0,1500.0,1800.0,77.0,120.0,180.0,79.0,45.0,64.0,99.0
Bolivia (Plurinational State of),BOL,2014,10706517,8300,13000,18000,340.0,530.0,770.0,1200.0,1500.0,1900.0,110.0,180.0,260.0,75.0,44.0,63.0,97.0
Bolivia (Plurinational State of),BOL,2015,10869732,8200,13000,18000,350.0,560.0,800.0,1100.0,1500.0,1900.0,120.0,190.0,280.0,72.0,43.0,61.0,95.0
Bolivia (Plurinational State of),BOL,2016,11031822,8200,13000,18000,320.0,500.0,730.0,1100.0,1400.0,1800.0,110.0,180.0,250.0,70.0,43.0,61.0,93.0
Bolivia (Plurinational State of),BOL,2017,11192853,8100,12000,18000,360.0,560.0,810.0,1100.0,1400.0,1800.0,120.0,190.0,280.0,68.0,43.0,61.0,93.0
Bolivia (Plurinational State of),BOL,2018,11353140,8000,12000,17000,390.0,610.0,870.0,980.0,1300.0,1700.0,38.0,100.0,210.0,67.0,44.0,62.0,95.0
Bolivia (Plurinational State of),BOL,2019,11513102,7900,12000,17000,370.0,580.0,840.0,930.0,1300.0,1700.0,27.0,89.0,190.0,65.0,43.0,61.0,94.0
Brazil,BRA,2000,174790339,77000,90000,104000,2100.0,7500.0,17000.0,7400.0,9100.0,11000.0,280.0,1200.0,2700.0,45.0,75.0,87.0,100.0
Brazil,BRA,2001,177196051,73000,86000,99000,1800.0,6500.0,14000.0,7200.0,8700.0,10000.0,240.0,1000.0,2300.0,42.0,75.0,87.0,100.0
